pin,slack
top_sb_0/COREAXI_0/genblk2.u_interconnect_ntom/genblk20.inst_matrix_S16/un1_pending_wrm0_waddr8_1_0_a3_0_a2:Y,10139
top_sb_0/top_sb_MSS_0/SPI_0_SS0_PAD/U_IOINFF:A,
top_sb_0/top_sb_MSS_0/SPI_0_SS0_PAD/U_IOINFF:Y,
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[6]:ALn,16494
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[6]:CLK,17545
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[6]:D,16102
top_sb_0/MSS_SMC_0/CoreSDR_0/fastinit_1/fastsdram_1/openbank_gen.1.openbank_r1_i/pcable_shift[6]:Q,17545
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/U_WRCH_RAM/mem1_mem1_0_0/CFG_5:IPC,
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST_RNO_10:A,13305
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST_RNO_10:B,17212
top_sb_0/top_sb_MSS_0/MSS_ADLIB_INST_RNO_10:Y,13305
top_sb_0/MSS_SMC_0/WDATA_mux_3_0_a4[11]:A,16627
top_sb_0/MSS_SMC_0/WDATA_mux_3_0_a4[11]:B,16402
top_sb_0/MSS_SMC_0/WDATA_mux_3_0_a4[11]:C,16118
top_sb_0/MSS_SMC_0/WDATA_mux_3_0_a4[11]:D,15963
top_sb_0/MSS_SMC_0/WDATA_mux_3_0_a4[11]:Y,15963
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_0_a2_5_1[8]:A,10429
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_0_a2_5_1[8]:B,10433
top_sb_0/COREAHBLTOAXI_0/U_AXIAccCntrl/axi_wstrb_ns_0_a2_5_1[8]:Y,10429
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIC1U04[0]:A,17637
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIC1U04[0]:B,17053
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIC1U04[0]:C,15630
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIC1U04[0]:D,10068
top_sb_0/CoreAHBLite_0/matrix4x16/slavestage_10/slave_arbiter/MASTERADDRINPROG_i_0_0_RNIC1U04[0]:Y,10068
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rgraynext[13]:A,9769
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rgraynext[13]:B,9731
top_sb_0/COREAHBLTOAXI_0/U_WrChannelFifo/rgraynext[13]:Y,9731
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_d_xhdl18[1]:ALn,16494
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_d_xhdl18[1]:CLK,6174
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_d_xhdl18[1]:D,314
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_d_xhdl18[1]:EN,144
top_sb_0/COREAHBLTOAXI_0/U_AHBAccCntrl/HBURST_d_xhdl18[1]:Q,6174
top_sb_0/COREAHBLTOAXI_0/U_RdChannelFifo/un13_writefull_0_I_9:A,16113
